serialn_long	Serialn	lat	lon	startdate	enddate
ODIN-0205 (81117)	ODINSD0205	-44.94862445	168.8336273	11/09/2019 16:00	
ODIN-0206 (81141)	ODINSD0206	-44.94124054	168.8397266	11/09/2019 16:00	
ODIN-0207 (81166)	ODINSD0207	-44.94152931	168.8335837	11/09/2019 16:00	
ODIN-0208 (81844)	ODINSD0208	-44.94528415	168.8387875	11/09/2019 16:00	
ODIN-0209 (81836)	ODINSD0209	-44.94911674	168.8444582	11/09/2019 16:00	
ODIN-0210 (81828)	ODINSD0210	-44.94180919	168.8382945	11/09/2019 16:00	
ODIN-0211 (81810)	ODINSD0211	-44.93953581	168.8369221	11/09/2019 16:00	
TODO	ODINSD0212	-44.9444259460036	168.831068915217	02/06/2020 16:00	
ODIN-0213 (81059)	ODINSD0213	-44.94560789	168.8434668	11/09/2019 16:00	
ODIN-0214 (81224)	ODINSD0214	-44.94060519	168.8373643	11/09/2019 16:00	
ODIN-0215 (81026)	ODINSD0215	-44.94881746	168.8421192	11/09/2019 16:00	
TODO	ODINSD0249	-44.9488161955616	168.845028073286	20/05/2020 16:00	
TODO	ODINSD0250	-44.9503813991352	168.838881551845	20/05/2020 16:00	
TODO	ODINSD0251	-44.9491396657078	168.83677725826	20/05/2020 16:00	
TODO	ODINSD0252	-44.9490910001141	168.844437600026	20/05/2020 16:00	
TODO	ODINSD0253	-44.9476606219137	168.834398495006	20/05/2020 16:00	
TODO	ODINSD0254	-44.9514040184097	168.840214487412	20/05/2020 16:00	
TODO	ODINSD0255	-44.9460695764318	168.842974950403	02/06/2020 16:00	
TODO	ODINSD0256	-44.9488110147144	168.84114375609	20/05/2020 16:00	
TODO	ODINSD0257	-44.9460590924321	168.84297316084	02/06/2020 16:00	
TODO	ODINSD0258	-44.9438743247197	168.83536256147	02/06/2020 16:00	
TODO	ODINSD0259	-44.9402550629808	168.838382414309	02/06/2020 16:00	
TODO	ODINSD0260	-44.9453639254908	168.838773801183	02/06/2020 16:00	
TODO	ODINSD0261	-44.940662346395	168.838706887686	02/06/2020 16:00	
TODO	ODINSD0262	-44.9468237777282	168.844326952548	20/05/2020 16:00	
TODO	ODINSD0263	-44.9501525669622	168.843986303814	20/05/2020 16:00	
TODO	ODINSD0264	-44.9502279886891	168.844098732726	20/05/2020 16:00	
TODO	ODINSD0265	-44.9488110147144	168.84114375609	20/05/2020 16:00	
TODO	ODINSD0266	-44.943393209763	168.83135672403	02/06/2020 16:00	
TODO	ODINSD0268	-44.9460360164312	168.832637611496	20/05/2020 16:00	
TODO	ODINSD0269	-44.9484175332407	168.843126183197	20/05/2020 16:00	
TODO	ODINSD0270	-44.9496442992675	168.842626603837	20/05/2020 16:00	
TODO	ODINSD0271	-44.9481617398745	168.843736681597	20/05/2020 16:00	
TODO	ODINSD0272	-44.9471805185702	168.842724477054	20/05/2020 16:00	
TODO	ODINSD0273	-44.950526521177	168.845491883006	20/05/2020 16:00	
TODO	ODINSD0274	-44.9515758971786	168.843324845134	20/05/2020 16:00	
TODO	ODINSD0275	-44.9513253418361	168.843837750888	20/05/2020 16:00	
TODO	ODINSD0276	-44.9470487366329	168.843357413707	20/05/2020 16:00	
TODO	ODINSD0277	-44.9475647161885	168.840907089689	20/05/2020 16:00	
TODO	ODINSD0278	-44.947403605812	168.841664266483	20/05/2020 16:00	

